;Variable;Definition;;
Single year of age table;;;;
;con_code;Constituency ONS code;;
;con_name;Constituency name;;
;rn_code;ONS code of the region or nation the constituency is in;;
;rn_name;Name of the region or nation the constituency in;;
;nat_code;ONS code of the nation grouping the constituency is in (England and Wales, Scotland or Northern Ireland);;
;nat_name;Name of the nation grouping the constituency is in (England and Wales, Scotland or Northern Ireland);;
;age;Age (single year);;
;con_number;Number of people of this age in the constituency;;
;con_pc;Percentage of constituency population of this age;;
;rn_number;Number of people of this age in the region/nation;;
;rn_pc;Percentage of region/nation population of this age;;
;nat_number;Number of people of this age in the nation grouping;;
;nat_pc;Percentage of the nation grouping population of this age;;
;data_source;Source of data for this nation grouping;;
;;;;
Age bands table;;;;
;con_code;Constituency ONS code;;
;con_name;Constituency name;;
;rn_code;ONS code of the region or nation the constituency is in;;
;rn_name;Name of the region or nation the constituency in;;
;nat_code;ONS code of the nation grouping the constituency is in (England and Wales, Scotland or Northern Ireland);;
;nat_name;Name of the nation grouping the constituency is in (England and Wales, Scotland or Northern Ireland);;
;age;Age band;;
;con_number;Number of people in this age band in the constituency;;
;con_pc;Percentage of constituency population in this age band;;
;rn_number;Number of people in this age band in the region/nation;;
;rn_pc;Percentage of region/nation population in this age band;;
;nat_number;Number of people in this age band in the nation grouping;;
;nat_pc;Percentage of the nation grouping population in this age band;;
;data_source;Source of data for this nation grouping;;